Station,Abhaynagar (SW30A) STAGE_RT (m),Afraghat (SW30) STAGE_RT (m),Akhaura (SW296) STAGE_RT (m),Aktapara (SW351) STAGE_RT (m),Alikadam (SW203.5) STAGE_RT (m),Amtoli (SW20) STAGE_RT (m),Aricha (SW50.6) STAGE_RT (m),Arpara (SW21) STAGE_RT (m),Astamonisha (SW149) STAGE_RT (m),Atharobaki (SW105) STAGE_RT (m),Atpara (SW311) STAGE_RT (m),Atrai Railway Bridge (SW147) STAGE_RT (m),Austogram Kishorganj (SW272/1) STAGE_RT (m),Azmiriganj (SW271) STAGE_RT (m),Babuganj (SW318) STAGE_RT (m),Bagerhat (SW1) STAGE_RT (m),Baghabari (SW151) STAGE_RT (m),Bagmara (SW83) STAGE_RT (m),Baidyar Bazar (SW275) STAGE_RT (m),Bainochhola (SW356)  STAGE_RT (m),Bakergonj (SW18.1) STAGE_RT (m),Balikhola (SW311.4) STAGE_RT (m),Bamna (SW38) STAGE_RT (m),Bandarban (SW247) STAGE_RT (m),Banigram (SW250) STAGE_RT (m),Baradeshwari (SW139) STAGE_RT (m),Baral Bridge (SW17.1) STAGE_RT (m),Barati (SW61.5) STAGE_RT (m),Barisal (SW18) STAGE_RT (m),Basantopur (SW129) STAGE_RT (m),Basuri (SW8) STAGE_RT (m),Batkuchi (SW53) STAGE_RT (m),Baushi  (SW134A) STAGE_RT (m),Begumganj (SW221.5) STAGE_RT (m),Benarpota (SW24) STAGE_RT (m),Betagi (SW37.5) STAGE_RT (m),Bhairab Bazar (SW273) STAGE_RT (m),Bhanga (SW170) STAGE_RT (m),Bhatiapara (SW102) STAGE_RT (m),Bhatshala Bridge (SW414) STAGE_RT (m),Bhawaniganj (SW240) STAGE_RT (m),Bhitorgar (SW282) STAGE_RT (m),Bhola Kheyaghat (SW288.4) STAGE_RT (m),Bhuiyanpur d/s (SW343.5) STAGE_RT (m),Bhutdangi (SW335) STAGE_RT (m),Bibir Bazar (SW109) STAGE_RT (m),Boalmari (SW327) STAGE_RT (m),Bodarganj (SW62) STAGE_RT (m),Bogura (SW65) STAGE_RT (m),Boragari (SW61) STAGE_RT (m),Borguna (SW38.1) STAGE_RT (m),Borhanuddin (SW279.5) STAGE_RT (m),Bujruk (SW336) STAGE_RT (m),Bushirbandar (SW142.1) STAGE_RT (m),Cansart (SW338) STAGE_RT (m),Chalk Hariharpur (SW144) STAGE_RT (m),Chalk Rahimpur (SW63) STAGE_RT (m),Chanchkoir (SW148) STAGE_RT (m),Chandkhali (SW164) STAGE_RT (m),Chandpur (SW277) STAGE_RT (m),Chapai Nawabgoanj (SW211.5) STAGE_RT (m),Chapra (SW25) STAGE_RT (m),Char Sunapur (SW87) STAGE_RT (m),Charduani (SW108) STAGE_RT (m),Chatlaghat Station (SW201.5) STAGE_RT (m),Chhatak (SW268) STAGE_RT (m),Chiringa (SW204) STAGE_RT (m),Chuadanga (SW207) STAGE_RT (m),Comilla (SW110) STAGE_RT (m),Companyganj (SW182) STAGE_RT (m),Dalia (SW291.5R) STAGE_RT (m),Dalia_UP (SW292) STAGE_RT (m),Damuddya (SW329) STAGE_RT (m),Darsana (SW208) STAGE_RT (m),Daudkandi (SW115) STAGE_RT (m),Daulatkhan (SW278) STAGE_RT (m),Debiganj (SW141) STAGE_RT (m),Demra (SW179) STAGE_RT (m),Demra (SW7.5) STAGE_RT (m),Derai (SW269.5) STAGE_RT (m),Dhaki Bridge (SW413) STAGE_RT (m),Dhunot (SW324) STAGE_RT (m),Dighinala (SW361) STAGE_RT (m),Dilalpur (SW74) STAGE_RT (m),Doani (SW291.5L) STAGE_RT (m),Dohajari (SW248) STAGE_RT (m),Dohokuladanga (SW150) STAGE_RT (m),Dokkhin Hasonpur (SW355) STAGE_RT (m),Durgapur (SW263) STAGE_RT (m),Durlavpur (SW345) STAGE_RT (m),Elarchar (SW254.5) STAGE_RT (m),Elashin (SW68A) STAGE_RT (m),Enayethat (SW121) STAGE_RT (m),Faridpur (SW168) STAGE_RT (m),Fenchuganj (SW174) STAGE_RT (m),Gaibandha (SW97) STAGE_RT (m),Garagonj (SW171) STAGE_RT (m),Ghok Bazar (SW344) STAGE_RT (m),Ghoramaraghat (SW305.5) STAGE_RT (m),Ghoshpur (SW52) STAGE_RT (m),Goainghat (SW252) STAGE_RT (m),Goalundo (SW91.9R) STAGE_RT (m),Gokornoghat (SW297) STAGE_RT (m),Gongasagor (SW123) STAGE_RT (m),"Gorai Rly, Bridge (SW99) STAGE_RT (m)",Gouranadi (SW300) STAGE_RT (m),Gualkanda (SW223) STAGE_RT (m),Gumani Rly. Bridge (SW149.1) STAGE_RT (m),Gunoboti (SW181) STAGE_RT (m),Habiganj (SW159) STAGE_RT (m),Hajiganj (SW58) STAGE_RT (m),Harashpur (SW359) STAGE_RT (m),Haridaspur (SW198) STAGE_RT (m),Hariharpara (SW43) STAGE_RT (m),Hatboalia (SW206) STAGE_RT (m),Hatiya (SW321) STAGE_RT (m),Hijla (SW320) STAGE_RT (m),Horipur (SW213) STAGE_RT (m),Islampur (SW332) STAGE_RT (m),Islampur (SW96) STAGE_RT (m),Itna (SW73) STAGE_RT (m),Jafarganj (SW96A) STAGE_RT (m),Jaflong (SW233A) STAGE_RT (m),Jagannathpur (SW352) STAGE_RT (m),Jagir Dhaleswari (SW68.5) STAGE_RT (m),Jaldhup (SW265) STAGE_RT (m),Jamalpur (SW225) STAGE_RT (m),Jaria-Jhanjail (SW36) STAGE_RT (m),Jhalokati (Bishkhali) (SW37) STAGE_RT (m),Jhenai Bridge (SW134B) STAGE_RT (m),Jhenaidaha (SW215) STAGE_RT (m),Jhikargacha (SW162) STAGE_RT (m),Jibonpur (SW114) STAGE_RT (m),Jogikhali (SW22.4) STAGE_RT (m),Jogonnathganj (SW48) STAGE_RT (m),Jote Bazar (SW82) STAGE_RT (m),Joypurhat (SW132.5) STAGE_RT (m),Jugini (SW186) STAGE_RT (m),Jukerchar (SW134) STAGE_RT (m),Juri (Silghat) (SW135A) STAGE_RT (m),Kabirajpur (SW193) STAGE_RT (m),Kaitpara (SW183) STAGE_RT (m),Kala Chandpur (SW217) STAGE_RT (m),Kalaroa (SW23) STAGE_RT (m),Kaliachori (SW84.1) STAGE_RT (m),Kaliakoir (SW301) STAGE_RT (m),Kaliganj (SW54) STAGE_RT (m),Kalmakanda (SW263.1) STAGE_RT (m),Kalurghat (SW152.2) STAGE_RT (m),Kamarkhali (SW101.B) STAGE_RT (m),Kanaighat (SW266) STAGE_RT (m),Kangasanagar (SW113) STAGE_RT (m),Kantanagar (SW78) STAGE_RT (m),Kaoraid (SW9) STAGE_RT (m),Kaotali Brahmanbaria (SW3A) STAGE_RT (m),Kastul (SW272.1) STAGE_RT (m),Kaunia (SW294) STAGE_RT (m),Kawkhali (SW136) STAGE_RT (m),Kazipara (SW340) STAGE_RT (m),Kazipur (SW205) STAGE_RT (m),Keshabpur (SW27) STAGE_RT (m),Khagrachari (SW360) STAGE_RT (m),Khaliajuri (SW72) STAGE_RT (m),Khanpur (SW11) STAGE_RT (m),Khansama (SW142) STAGE_RT (m),Khator Magura (SW55) STAGE_RT (m),Khoikhali (SW130) STAGE_RT (m),Kholabarichar (SW46.7L) STAGE_RT (m),Khulna (SW241) STAGE_RT (m),Kobadak Forest (SW165) STAGE_RT (m),Kodalkatigaon (SW287) STAGE_RT (m),Kolatia (SW70) STAGE_RT (m),Komalganj (SW67) STAGE_RT (m),Kumarpara (SW328) STAGE_RT (m),Kundal (SW156A) STAGE_RT (m),Kurigram (SW77) STAGE_RT (m),Laksam (SW58A) STAGE_RT (m),Lakshmipur (SW239) STAGE_RT (m),Lalonsha Bridge (SW90) STAGE_RT (m),Lama (SW203) STAGE_RT (m),Lemshikhali (SW176) STAGE_RT (m),Lohagara (SW217A) STAGE_RT (m),Madaripur (SW5) STAGE_RT (m),Madhupur (SW12) STAGE_RT (m),Madna (SW272) STAGE_RT (m),Magura (SW216) STAGE_RT (m),Magura (SW216A) STAGE_RT (m),Mahadevpur (SW145) STAGE_RT (m),Malipur (SW257) STAGE_RT (m),Malonchi (SW16.1) STAGE_RT (m),Markuli (SW270) STAGE_RT (m),Matlab (SW79) STAGE_RT (m),Mawa Padma Bridge (SW93.5L) STAGE_RT (m),Meghna Ferry Ghat (SW275.5) STAGE_RT (m),Mia Bazar (SW334) STAGE_RT (m),Mill Baraccuk Postagola Bridge (SW417) STAGE_RT (m),Mill Barrack Babubazar (SW42) STAGE_RT (m),Mirjaganj (SW19) STAGE_RT (m),Mirpur (SW302) STAGE_RT (m),Mirzapur (Bangshi River) (SW14) STAGE_RT (m),Mirzapur (SW96.5) STAGE_RT (m),Moddonagar (SW263.2) STAGE_RT (m),Mohammadpur Bridge (SW411) STAGE_RT (m),Mohimaganj (SW155) STAGE_RT (m),Mohonganj (SW36.1) STAGE_RT (m),Molani (SW283) STAGE_RT (m),Monmothpur (SW132) STAGE_RT (m),Montala (SW264A) STAGE_RT (m),Monu Rail Bridge (SW201) STAGE_RT (m),Mostafapur (SW190) STAGE_RT (m),Motiganj (SW192) STAGE_RT (m),Moulvibazar (SW202) STAGE_RT (m),Mujurdia (SW169) STAGE_RT (m),Mymensingh (SW228.5) STAGE_RT (m),Nabinagar (SW298) STAGE_RT (m),"Nakuagaon, Sherpur (SW34) STAGE_RT (m)",Naldangarhat (SW83.1) STAGE_RT (m),Nalitabari (SW35) STAGE_RT (m),Nalka-Sengati (SW11.5) STAGE_RT (m),Nangura Rly Bridge (SW313) STAGE_RT (m),Naogoan (SW133) STAGE_RT (m),Naohata (SW261) STAGE_RT (m),Narail (SW56.1) STAGE_RT (m),Narayanganj (SW180) STAGE_RT (m),Narayanhat (SW117) STAGE_RT (m),Narsingdi (SW274) STAGE_RT (m),Nazirpur (SW107A) STAGE_RT (m),Netrokona (SW310) STAGE_RT (m),Nilkamal (SW277.3) STAGE_RT (m),Nizbari (SW44.1) STAGE_RT (m),Noakhali (SW222) STAGE_RT (m),Noarhat (SW14.5) STAGE_RT (m),Nolsafa (SW342) STAGE_RT (m),Offtake (SW4A) STAGE_RT (m),Paikgacha (SW258) STAGE_RT (m),Panchagar (SW140) STAGE_RT (m),Panchpukuria (SW119.1) STAGE_RT (m),Parshuram (SW212) STAGE_RT (m),Pateswari (SW81) STAGE_RT (m),Patgati (SW106) STAGE_RT (m),Patgram (SW75) STAGE_RT (m),Pathorghata (SW39) STAGE_RT (m),Patuakhali (SW183.5) STAGE_RT (m),Phulbari (SW132.2) STAGE_RT (m),Phulbari (SW232) STAGE_RT (m),Phulhat (SW236) STAGE_RT (m),Piearapur (SW239.5) STAGE_RT (m),Pirojpur (SW107) STAGE_RT (m),Pocharhat (SW346) STAGE_RT (m),Pran Nagar (SW235A) STAGE_RT (m),Protapnagar (SW26) STAGE_RT (m),Pubail (SW7) STAGE_RT (m),Rajgonj (SW350) STAGE_RT (m),Ramdia (SW51) STAGE_RT (m),Ramkrishnapur (SW338.5) STAGE_RT (m),Ramnagar (SW230.1) STAGE_RT (m),Ramu (SW40) STAGE_RT (m),Rangunia (SW125) STAGE_RT (m),Raniganj (SW284) STAGE_RT (m),Rawshonpur (SW57A) STAGE_RT (m),Rayenda (SW107.2) STAGE_RT (m),Rikabibazar (SW71A) STAGE_RT (m),Rohanpur (SW238) STAGE_RT (m),Saflapur_Moheshkhali (SW200) STAGE_RT (m),Salda (SW339) STAGE_RT (m),Salimganj (SW298.5) STAGE_RT (m),Salutikar (SW252.1) STAGE_RT (m),Sanamukhi (SW325) STAGE_RT (m),Sarchapur (SW35.5) STAGE_RT (m),Sariakandi (SW11A) STAGE_RT (m),Sarighat (SW251) STAGE_RT (m),Satnal (SW276) STAGE_RT (m),Savar (SW69) STAGE_RT (m),Selonia (SW181A) STAGE_RT (m),Shaistaganj (SW158.1) STAGE_RT (m),Shakra (SW128) STAGE_RT (m),Shamijhiaghat (SW143) STAGE_RT (m),Shantipur Police Camp (SW415) STAGE_RT (m),Shaola Dubag (SW173) STAGE_RT (m),Sherpur (SW175.5) STAGE_RT (m),Shibganj (SW64) STAGE_RT (m),Shimakhali Bridge (SW410) STAGE_RT (m),Shimulbari (SW10) STAGE_RT (m),Shuvopur (SW86) STAGE_RT (m),Singra (SW147.5) STAGE_RT (m),Siraj (SW62.5) STAGE_RT (m),Sirajganj (SW49) STAGE_RT (m),Sofiabad (SW138) STAGE_RT (m),Solemanpur (SW354) STAGE_RT (m),Subar Bazar (SW257.5) STAGE_RT (m),Sunamganj (SW269) STAGE_RT (m),Sutang Rly Br (SW280) STAGE_RT (m),Swarupkathi (SW253) STAGE_RT (m),Sylhet (SW267) STAGE_RT (m),Tahirpur (SW161) STAGE_RT (m),Tajumuddin (SW279) STAGE_RT (m),Tala Magura (SW163) STAGE_RT (m),Talora (SW312) STAGE_RT (m),Taluksimulbari (SW76) STAGE_RT (m),Taraghat (SW137A) STAGE_RT (m),Telepari (SW120) STAGE_RT (m),Thakurgaon (SW285) STAGE_RT (m),Thanchi (SW247.4) STAGE_RT (m),ThandaChari (SW124) STAGE_RT (m),Tilli (SW68) STAGE_RT (m),Toke (SW229) STAGE_RT (m),Tongi khal (SW299) STAGE_RT (m),Trimohini (SW9.5) STAGE_RT (m),Tularampur Bridge (SW55.1) STAGE_RT (m),Ullapara (SW66) STAGE_RT (m),Umedpur (SW136.1) STAGE_RT (m),Urargaon (SW337) STAGE_RT (m),Uttargomanati (SW331) STAGE_RT (m),Uzirpur (SW253A) STAGE_RT (m),Zazira Padma Bridge (SW93.5R) STAGE_RT (m)
Missing_Values,480,0,0,0,2,0,0,0,327,0,0,0,0,480,0,0,0,0,480,0,0,480,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,19,0,0,0,0,480,0,0,0,0,0,1,480,38,0,0,480,0,0,480,0,0,2,480,0,480,0,0,0,0,0,0,4,0,480,0,0,0,480,0,480,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,480,0,0,480,480,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,480,0,0,0,0,480,0,0,0,480,0,1,480,0,0,0,0,0,0,0,0,0,1,0,0,0,0,480,480,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,480,0,8,480,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,1,171,0,0,434,0,0,0,0,0,0,0,480,0,0,4,480,0,0,0,0,0,0,480,480,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,480,0,0,480,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,480,480,0,0,0,0,0,0,0,0,480,1,0,0,480,0,339,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Missing_Times,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,01/10/2025 03:00:00,No Missing Data,No Missing Data,No Missing Data,02/10/2025 14:15:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,03/10/2025 08:15:00 - 03/10/2025 12:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,05/10/2025 00:15:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,05/10/2025 14:30:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,02/10/2025 23:30:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 03:00:00,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,05/10/2025 09:15:00 - 05/10/2025 10:00:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 10:15:00,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,05/10/2025 08:30:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,02/10/2025 07:00:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,02/10/2025 18:15:00 - 03/10/2025 00:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,01/10/2025 11:45:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 04:15:00,01/10/2025 20:45:00 - 02/10/2025 03:30:00,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 01/10/2025 12:00:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,02/10/2025 07:45:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,04/10/2025 12:30:00 - 05/10/2025 00:15:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,02/10/2025 07:30:00,No Missing Data,No Missing Data,01/10/2025 00:00:00 - 05/10/2025 23:45:00,No Missing Data,01/10/2025 00:00:00 - 01/10/2025 02:15:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,04/10/2025 01:45:00 - 04/10/2025 02:00:00,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,No Missing Data,01/10/2025 08:45:00,No Missing Data,No Missing Data
,,,,,01/10/2025 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/10/2025 19:00:00,,,,,,,,,,03/10/2025 09:00:00 - 03/10/2025 09:30:00,,,,,,,,,,05/10/2025 10:30:00 - 05/10/2025 10:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/10/2025 14:45:00 - 04/10/2025 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/10/2025 23:45:00 - 05/10/2025 00:00:00,,,,,,,,,,,,,,,02/10/2025 00:45:00,,,,,,,,,,,,,,,,,,,,,02/10/2025 17:30:00 - 03/10/2025 02:00:00,,,01/10/2025 15:15:00 - 02/10/2025 12:00:00,,,,,,,,,,,02/10/2025 08:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/10/2025 02:45:00 - 01/10/2025 03:15:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/10/2025 22:30:00 - 05/10/2025 23:45:00,,,,,,,,,,,,,,,03/10/2025 02:30:00 - 03/10/2025 03:45:00,,,,,,,,,,,,,,,,,,,,,03/10/2025 19:45:00 - 04/10/2025 01:30:00,,,02/10/2025 13:45:00 - 03/10/2025 12:00:00,,,,,,,,,,,04/10/2025 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/10/2025 04:00:00 - 01/10/2025 06:45:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/10/2025 18:30:00 - 05/10/2025 02:30:00,,,03/10/2025 14:45:00 - 04/10/2025 12:00:00,,,,,,,,,,,05/10/2025 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/10/2025 12:00:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/10/2025 11:15:00 - 05/10/2025 23:45:00,,,04/10/2025 14:45:00 - 05/10/2025 10:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/10/2025 12:30:00 - 02/10/2025 07:30:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/10/2025 13:00:00 - 05/10/2025 23:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/10/2025 11:15:00 - 03/10/2025 01:15:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/10/2025 05:00:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/10/2025 05:30:00 - 03/10/2025 06:15:00,,,,,,,,,,,,,,,,,,,
