"Time","  FARAZGANZ NEW BRIDGE WL_I_1H (m)"," ALEXANDER WL_I_1H (m)"," BAKKHALI RIVER  ( KHURUSHKUL) WL_I_1H (m)"," BASHKHALI  (JALKADAR CANAL) BRIDGE WL_I_1H (m)"," BEKUTIA FERRY GHAT WL_I_1H (m)"," BOLIR POL  BRIDGE WL_I_1H (m)"," CHAR AMANULLAH WL_I_1H (m)"," CHAR JABBAR RAMGOTI BRIDGE WL_I_1H (m)"," CHAR MONTAZ SLUICE GATE, BAZAR WL_I_1H (m)"," DUBLAR CHAR WL_I_1H (m)"," GABKHAN BRIDGE WL_I_1H (m)"," GODARPAR SLUICE GATE  (SANGUA BRIDGE) WL_I_1H (m)"," GOLACHIPA FERRY GHAT WL_I_1H (m)"," KALAPARA BRIDGE WL_I_1H (m)"," KARNAFULI SHAH AMANAT BRIDGE WL_I_1H (m)"," KARNAPHULI  RIVER (SUPPORT PADMA OIL COMPANY LTD.) WL_I_1H (m)"," KUAKATA (ALIPUR BRIDGE) WL_I_1H (m)"," KUMIRA (JETTY GHAT) WL_I_1H (m)"," MAYA BRIDGE WL_I_1H (m)"," MOGNAMA JETTY WL_I_1H (m)"," MOHESHKHALI (NEW JETTY GHAT) WL_I_1H (m)"," MONPURA  (HAJIRHAT LAUNCH GHAT) WL_I_1H (m)"," MOTIRHAT NEW REGULATOR (MOJU  CHOWDHURY'S HAT)  WL_I_1H (m)"," MUKTARIA  GHAT  (HATIYA NIJHUM DWIP FERRY RT) WL_I_1H (m)"," MUSAPUR REGULATOR  (SLUICE GATE) WL_I_1H (m)"," NAF RIVER WL_I_1H (m)"," RAJU-KHAL STEEL BRIDGE  (NEAR INANI BEACH) WL_I_1H (m)"," RANGABALI WL_I_1H (m)"," SANDWIP (GUPTOCHORA  JETTY GHAT) WL_I_1H (m)"," SHAPORIR DWIP  (JETTY TERMINAL) WL_I_1H (m)"," TULATULI SLUICE GATE WL_I_1H (m)","BOWLESHSWAR BAZAR (KHETACHIRA) WL_I_1H (m)","CHARFESHION (NEW SULEJ GATE) WL_I_1H (m)","GABURA HAT (BRIDGE) WL_I_1H (m)","JOYALVANGA SLUICE GATE(TALTALI) WL_I_1H (m)","MORELGANJ  BRIDGE WL_I_1H (m)","PAYRA  JETTY (THERMAL POWER PLANT) WL_I_1H (m)","ST. MARTIN  (LANDING JETTY OF ST. MARTIN) WL_I_1H (m)","THOTA  JETTY ( JAYMONI BAZAR) WL_I_1H (m)","ULANIA DASHMINA (BRIDGE) WL_I_1H (m)"
"01/07/2025 00:00:00",0.472,,,,0.313,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.979,,,,,,,0.536,,,
"01/07/2025 00:15:00",0.425,,,,0.317,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.008,,,,,,,0.657,,,
"01/07/2025 00:30:00",0.385,,,,0.338,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.073,,,,,,,0.739,,,
"01/07/2025 00:45:00",0.357,,,,0.383,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.069,,,,,,,0.88,,,
"01/07/2025 01:00:00",0.334,,,,0.463,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.072,,,,,,,0.95,,,
"01/07/2025 01:15:00",,,,,0.583,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.06,,,,,,,1.058,,,
"01/07/2025 01:30:00",,,,,0.725,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.064,,,,,,,1.13,,,
"01/07/2025 01:45:00",0.373,,,,,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.029,,,,,,,1.186,,,
"01/07/2025 02:00:00",0.475,,,,0.986,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.011,,,,,,,1.224,,,
"01/07/2025 02:15:00",0.576,,,,1.098,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.943,,,,,,,1.258,,,
"01/07/2025 02:30:00",0.682,,,,1.196,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.886,,,,,,,1.281,,,
"01/07/2025 02:45:00",0.778,,,,1.253,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.855,,,,,,,1.322,,,
"01/07/2025 03:00:00",0.851,,,,1.303,,,,,,,,,14.026,,,,,,,,,,,,,,,,,,,,,,,1.301,,,
"01/07/2025 03:15:00",0.942,,,,1.323,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.663,,,,,,,1.254,,,
"01/07/2025 03:30:00",1.007,,,,1.347,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.595,,,,,,,1.222,,,
"01/07/2025 03:45:00",1.048,,,,1.448,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.505,,,,,,,1.182,,,
"01/07/2025 04:00:00",1.093,,,,1.383,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.393,,,,,,,1.121,,,
"01/07/2025 04:15:00",1.123,,,,1.386,,,,,,,,,14.466,,,,,,,,,,,,,,,,0.309,,,,,,,1.066,,,
