"Time","  FARAZGANZ NEW BRIDGE WL_I_1H (m)"," ALEXANDER WL_I_1H (m)"," BAKKHALI RIVER  ( KHURUSHKUL) WL_I_1H (m)"," BASHKHALI  (JALKADAR CANAL) BRIDGE WL_I_1H (m)"," BEKUTIA FERRY GHAT WL_I_1H (m)"," BOLIR POL  BRIDGE WL_I_1H (m)"," CHAR AMANULLAH WL_I_1H (m)"," CHAR JABBAR RAMGOTI BRIDGE WL_I_1H (m)"," CHAR MONTAZ SLUICE GATE, BAZAR WL_I_1H (m)"," DUBLAR CHAR WL_I_1H (m)"," GABKHAN BRIDGE WL_I_1H (m)"," GODARPAR SLUICE GATE  (SANGUA BRIDGE) WL_I_1H (m)"," GOLACHIPA FERRY GHAT WL_I_1H (m)"," KALAPARA BRIDGE WL_I_1H (m)"," KARNAFULI SHAH AMANAT BRIDGE WL_I_1H (m)"," KARNAPHULI  RIVER (SUPPORT PADMA OIL COMPANY LTD.) WL_I_1H (m)"," KUAKATA (ALIPUR BRIDGE) WL_I_1H (m)"," KUMIRA (JETTY GHAT) WL_I_1H (m)"," MAYA BRIDGE WL_I_1H (m)"," MOGNAMA JETTY WL_I_1H (m)"," MOHESHKHALI (NEW JETTY GHAT) WL_I_1H (m)"," MONPURA  (HAJIRHAT LAUNCH GHAT) WL_I_1H (m)"," MOTIRHAT NEW REGULATOR (MOJU  CHOWDHURY'S HAT)  WL_I_1H (m)"," MUKTARIA  GHAT  (HATIYA NIJHUM DWIP FERRY RT) WL_I_1H (m)"," MUSAPUR REGULATOR  (SLUICE GATE) WL_I_1H (m)"," NAF RIVER WL_I_1H (m)"," RAJU-KHAL STEEL BRIDGE  (NEAR INANI BEACH) WL_I_1H (m)"," RANGABALI WL_I_1H (m)"," SANDWIP (GUPTOCHORA  JETTY GHAT) WL_I_1H (m)"," SHAPORIR DWIP  (JETTY TERMINAL) WL_I_1H (m)"," TULATULI SLUICE GATE WL_I_1H (m)","BOWLESHSWAR BAZAR (KHETACHIRA) WL_I_1H (m)","CHARFESHION (NEW SULEJ GATE) WL_I_1H (m)","GABURA HAT (BRIDGE) WL_I_1H (m)","JOYALVANGA SLUICE GATE(TALTALI) WL_I_1H (m)","MORELGANJ  BRIDGE WL_I_1H (m)","PAYRA  JETTY (THERMAL POWER PLANT) WL_I_1H (m)","ST. MARTIN  (LANDING JETTY OF ST. MARTIN) WL_I_1H (m)","THOTA  JETTY ( JAYMONI BAZAR) WL_I_1H (m)","ULANIA DASHMINA (BRIDGE) WL_I_1H (m)"
"01/09/2025 00:00:00",0.358,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,0.395,,,,,,,,,,
"01/09/2025 00:15:00",,,,,0.335,,,,,,,,,,,,,,,,,,,,,,,,,0.442,,,,,,,,,,
"01/09/2025 00:30:00",0.352,,,,0.335,,,,,,,,,,,,,,,,,,,,,,,,,0.501,,,,,,,,,,
"01/09/2025 00:45:00",0.34,,,,0.355,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,
"01/09/2025 01:00:00",0.345,,,,0.377,,,,,,,,,,,,,,,,,,,,,,,,,0.622,,,,,,,,,,
"01/09/2025 01:15:00",0.349,,,,0.413,,,,,,,,,,,,,,,,,,,,,,,,,0.674,,,,,,,,,,
"01/09/2025 01:30:00",0.361,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,0.707,,,,,,,,,,
"01/09/2025 01:45:00",0.392,,,,0.543,,,,,,,,,,,,,,,,,,,,,,,,,0.745,,,,,,,,,,
"01/09/2025 02:00:00",0.419,,,,0.584,,,,,,,,,,,,,,,,,,,,,,,,,0.768,,,,,,,,,,
"01/09/2025 02:15:00",,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01/09/2025 02:30:00",0.502,,,,0.733,,,,,,,,,,,,,,,,,,,,,,,,,0.748,,,,,,,,,,
"01/09/2025 02:45:00",0.557,,,,0.809,,,,,,,,,,,,,,,,,,,,,,,,,0.778,,,,,,,,,,
"01/09/2025 03:00:00",0.618,,,,0.871,,,,,,,,,,,,,,,,,,,,,,,,,0.727,,,,,,,,,,
"01/09/2025 03:15:00",0.682,,,,0.921,,,,,,,,,,,,,,,,,,,,,,,,,0.721,,,,,,,,,,
"01/09/2025 03:30:00",0.715,,,,0.973,,,,,,,,,,,,,,,,,,,,,,,,,0.699,,,,,,,,,,
"01/09/2025 03:45:00",0.756,,,,1.009,,,,,,,,,,,,,,,,,,,,,,,,,0.652,,,,,,,,,,
"01/09/2025 04:00:00",0.783,,,,1.355,,,,,,,,,,,,,,,,,,,,,,,,,0.611,,,,,,,,,,
"01/09/2025 04:15:00",,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,0.603,,,,,,,,,,
"01/09/2025 04:30:00",0.796,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,0.556,,,,,,,,,,
"01/09/2025 04:45:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
