"Time","Bhagyakul (CL402) STAGE_RT (m)","Bheramara (CL405) STAGE_RT (m)","Dhaka_Banani (CL42) STAGE_RT (m)","Rawshonpur (SW57A) STAGE_RT (m)"
"01/09/2025 00:00:00",,,,88.067
"01/09/2025 00:15:00",,,,88.066
"01/09/2025 00:30:00",,,,88.066
"01/09/2025 00:45:00",,,,88.065
"01/09/2025 01:00:00",,,,88.065
"01/09/2025 01:15:00",,,,88.064
"01/09/2025 01:30:00",,,,88.063
"01/09/2025 01:45:00",,,,88.061
"01/09/2025 02:00:00",,,,88.059
"01/09/2025 02:15:00",,,,88.058
"01/09/2025 02:30:00",,,,88.058
"01/09/2025 02:45:00",,,,88.057
"01/09/2025 03:00:00",,,,88.055
"01/09/2025 03:15:00",,,,88.055
"01/09/2025 03:30:00",,,,88.052
"01/09/2025 03:45:00",,,,88.052
"01/09/2025 04:00:00",,,,88.052
"01/09/2025 04:15:00",,,,88.051
"01/09/2025 04:30:00",,,,88.049
"01/09/2025 10:00:00",,,,88.024
"01/09/2025 10:15:00",,,,88.024
"01/09/2025 10:30:00",,,,88.021
"01/09/2025 13:30:00",,,,88.008
"01/09/2025 13:45:00",,,,88.007
"01/09/2025 14:00:00",,,,88.006
"01/09/2025 14:15:00",,,,88.006
"01/09/2025 14:30:00",,,,88.004
"01/09/2025 14:45:00",,,,88.002
"01/09/2025 15:00:00",,,,88.001
"01/09/2025 15:15:00",,,,88
"01/09/2025 15:30:00",,,,88
"01/09/2025 15:45:00",,,,87.999
"01/09/2025 16:00:00",,,,87.997
"01/09/2025 16:15:00",,,,87.996
"01/09/2025 16:30:00",,,,87.995
"01/09/2025 16:45:00",,,,87.995
"01/09/2025 17:00:00",,,,87.993
"01/09/2025 17:15:00",,,,87.994
"01/09/2025 17:30:00",,,,87.993
"01/09/2025 17:45:00",,,,87.991
"01/09/2025 18:00:00",,,,87.991
"01/09/2025 18:15:00",,,,87.99
"01/09/2025 18:30:00",,,,87.991
"01/09/2025 18:45:00",,,,87.991
"01/09/2025 19:00:00",,,,87.99
"01/09/2025 19:15:00",,,,87.989
"01/09/2025 19:30:00",,,,87.989
"01/09/2025 19:45:00",,,,87.987
"01/09/2025 20:00:00",,,,87.986
"01/09/2025 20:15:00",,,,87.985
"01/09/2025 20:30:00",,,,87.984
"01/09/2025 20:45:00",,,,87.983
"01/09/2025 21:00:00",,,,87.983
"01/09/2025 21:15:00",,,,87.981
"01/09/2025 21:30:00",,,,87.981
"01/09/2025 21:45:00",,,,87.979
